Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	PubMed ID	Kinetics	pH dependence	Redox potential	Site	EC number	Activity regulation	Active site	Binding site	Catalytic activity
A0A5B8RWI2	unreviewed	A0A5B8RWI2_9BURK	Phenol hydroxylase	FOZ74_08255	Comamonas sp. NLF-7-7	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C1Q8I9	unreviewed	A0A5C1Q8I9_9BURK	Phenol hydroxylase	EWH46_19265	Sphaerotilus sulfidivorans	337	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C1WB06	unreviewed	A0A5C1WB06_9HYPH	Toluene hydroxylase	FZC33_06725	Labrys sp. KNU-23	352	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C4J9U3	unreviewed	A0A5C4J9U3_9ACTN	propane 2-monooxygenase (EC 1.14.13.227)	ETD83_21780	Actinomadura soli	338	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A5C4JQA6	unreviewed	A0A5C4JQA6_9HYPH	Phenol hydroxylase	FF124_14880	Martelella lutilitoris	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C4LRT7	unreviewed	A0A5C4LRT7_9PSEU	propane 2-monooxygenase (EC 1.14.13.227)	FG385_28000	Amycolatopsis alkalitolerans	368	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A5C4VS50	unreviewed	A0A5C4VS50_9ACTN	propane 2-monooxygenase (EC 1.14.13.227)	FHP29_15620	Nocardioides albidus	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	26530636					1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A5C5QB25	unreviewed	A0A5C5QB25_9PSED	Phenol hydroxylase	FIV36_27335	Pseudomonas extremaustralis	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C7JWE3	unreviewed	A0A5C7JWE3_9CHLR	Toluene monooxygenase	E6R14_03725	Thermomicrobiales bacterium	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C7K3L5	unreviewed	A0A5C7K3L5_9RHOO	Toluene monooxygenase	E6R15_11775	Zoogloea sp	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C7K4Y7	unreviewed	A0A5C7K4Y7_9RHOO	Phenol hydroxylase	E6R15_12805	Zoogloea sp	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C7NJ39	unreviewed	A0A5C7NJ39_9BURK	Phenol hydroxylase	E6Q92_12310	Burkholderiaceae bacterium	327	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C7PBI1	unreviewed	A0A5C7PBI1_9BURK	Toluene monooxygenase	E6Q92_04845	Burkholderiaceae bacterium	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C7SGB3	unreviewed	A0A5C7SGB3_RHISP	Toluene hydroxylase	E6Q77_05705	Rhizobium sp	352	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C7T3A1	unreviewed	A0A5C7T3A1_9RHOO	Phenol hydroxylase	E6Q80_03975	Thauera aminoaromatica	281	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C7UHJ9	unreviewed	A0A5C7UHJ9_9BURK	Phenol hydroxylase	E6Q68_05740	Polynucleobacter sp	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C7UMM3	unreviewed	A0A5C7UMM3_9BURK	Toluene monooxygenase	E6Q68_01165	Polynucleobacter sp	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C7VC60	unreviewed	A0A5C7VC60_9BURK	Phenol hydroxylase	E6Q65_00200	Ottowia sp	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C8P911	unreviewed	A0A5C8P911_9HYPH	Phenol hydroxylase	FHP25_35550	Vineibacter terrae	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C9BQM7	unreviewed	A0A5C9BQM7_9RHOO	Toluene monooxygenase system protein E	FD131_4222	Rhodocyclaceae bacterium	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C9C056	unreviewed	A0A5C9C056_9RHOO	Methane/phenol/toluene hydroxylase	FD131_2061	Rhodocyclaceae bacterium	329	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C9C0I1	unreviewed	A0A5C9C0I1_9RHOO	LapL	FD131_2086	Rhodocyclaceae bacterium	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C9C5G8	unreviewed	A0A5C9C5G8_9RHOO	Phenol hydroxylase	FD131_936	Rhodocyclaceae bacterium	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5C9CVL6	unreviewed	A0A5C9CVL6_9BURK	Toluene monooxygenase system protein E	FD135_396	Comamonadaceae bacterium	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5D0QF33	unreviewed	A0A5D0QF33_9ACTN	propane 2-monooxygenase (EC 1.14.13.227)	FXF51_17210	Nonomuraea sp. PA05	336	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A5D0U9R7	unreviewed	A0A5D0U9R7_9ACTN	propane 2-monooxygenase (EC 1.14.13.227)	FXF65_16105	Actinomadura syzygii	338	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A5D3FSQ7	unreviewed	A0A5D3FSQ7_9ACTN	propane 2-monooxygenase (EC 1.14.13.227)	FXF68_13385	Actinomadura decatromicini	338	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A5D3KYQ9	unreviewed	A0A5D3KYQ9_9BRAD	Toluene hydroxylase	FXB40_05490	Bradyrhizobium rifense	361	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5E4W0Q9	unreviewed	A0A5E4W0Q9_9BURK	Toluene monooxygenase	PAQ31011_02985	Pandoraea aquatica	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5E4W346	unreviewed	A0A5E4W346_9BURK	Toluene monooxygenase	PCO31010_02985	Pandoraea commovens	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5E4WPB9	unreviewed	A0A5E4WPB9_9BURK	Toluene monooxygenase	PAQ31011_03358	Pandoraea aquatica	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5E4XDH8	unreviewed	A0A5E4XDH8_9BURK	Toluene monooxygenase	PCO31010_03835	Pandoraea commovens	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5E4XWZ3	unreviewed	A0A5E4XWZ3_9BURK	Methane monooxygenase component A beta chain (EC 1.14.13.25)	mmoY PTE30175_04049	Pandoraea terrae	361	methane monooxygenase NADH activity [GO:0106317]; methane monooxygenase NADPH activity [GO:0106318]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.25				
A0A5E7CNK3	unreviewed	A0A5E7CNK3_PSEFL	Phenol hydroxylase P1 protein (EC 1.14.13.7)	mphL PS710_02343	Pseudomonas fluorescens	331	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.7				
A0A5E7FL61	unreviewed	A0A5E7FL61_PSEFL	Phenol hydroxylase P1 protein (EC 1.14.13.7)	mphL PS723_05775	Pseudomonas fluorescens	331	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.7				
A0A5E7IYI1	unreviewed	A0A5E7IYI1_PSEFL	Phenol hydroxylase P1 protein (EC 1.14.13.7)	mphL PS862_01589	Pseudomonas fluorescens	334	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.7				
A0A5E7KE25	unreviewed	A0A5E7KE25_PSEFL	Phenol hydroxylase P1 protein (EC 1.14.13.7)	mphL PS903_02432	Pseudomonas fluorescens	331	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.7				
A0A5E7KMS7	unreviewed	A0A5E7KMS7_PSEFL	Phenol hydroxylase P1 protein (EC 1.14.13.7)	mphL PS850_02873	Pseudomonas fluorescens	331	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.7				
A0A5E7M4G9	unreviewed	A0A5E7M4G9_PSEFL	Phenol hydroxylase P1 protein (EC 1.14.13.7)	mphL PS838_03833	Pseudomonas fluorescens	331	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.7				
A0A5E7R143	unreviewed	A0A5E7R143_PSEFL	Phenol hydroxylase P1 protein (EC 1.14.13.7)	mphL PS918_00695	Pseudomonas fluorescens	330	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.7				
A0A5E9PGA0	unreviewed	A0A5E9PGA0_9GAMM	Phenol hydroxylase	E2R16_15610	Acinetobacter seifertii	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5J5GW23	unreviewed	A0A5J5GW23_9BACI	Toluene hydroxylase	F4V44_26445	Niallia endozanthoxylica	373	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5J6LE25	unreviewed	A0A5J6LE25_9GAMM	Phenol hydroxylase	F5I99_10150	Nitrincola iocasae	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5J6QEH0	unreviewed	A0A5J6QEH0_9PSED	Phenol hydroxylase	FXN65_03415	Pseudomonas lalkuanensis	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5K1MR41	unreviewed	A0A5K1MR41_ACIBA	Phenol hydroxylase P1 protein	F978_01857	Acinetobacter baumannii NIPH 615	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5M3PP72	unreviewed	A0A5M3PP72_9GAMM	Phenol hydroxylase P1 protein	mphL MS5N3_21360 MSSD14B_01690	Marinobacter salsuginis	333	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5N0EFV1	unreviewed	A0A5N0EFV1_9NOCA	propane 2-monooxygenase (EC 1.14.13.227)	F3087_22495	Nocardia colli	371	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A5N0V4K0	unreviewed	A0A5N0V4K0_9PSEU	propane 2-monooxygenase (EC 1.14.13.227)	FPZ12_018330	Amycolatopsis acidicola	367	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A5N5VDI8	unreviewed	A0A5N5VDI8_MYCPH	propane 2-monooxygenase (EC 1.14.13.227)	MPHL21000_01975	Mycolicibacterium phlei DSM 43239 = CCUG 21000	329	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A5N7RSY5	unreviewed	A0A5N7RSY5_9BURK	Phenol hydroxylase	E2I21_13860	Alcaligenaceae bacterium SAGV5	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5N7TT62	unreviewed	A0A5N7TT62_ACISP	Phenol hydroxylase	E2595_00475	Acinetobacter sp	333	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5N9AR53	unreviewed	A0A5N9AR53_9CHLR	Toluene monooxygenase	FI713_00260	SAR202 cluster bacterium	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5P1DS14	unreviewed	A0A5P1DS14_9PSED	Phenol hydroxylase	FUT48_14080	Pseudomonas sp. JG-B	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5P1R8X2	unreviewed	A0A5P1R8X2_9GAMM	Phenol hydroxylase	F0U83_03005	Neptunomonas concharum	327	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5P2ZWI7	unreviewed	A0A5P2ZWI7_9RHOB	Methane monooxygenase component A beta chain (EC 1.14.13.25)	mmoY LA6_003195	Paracoccaceae bacterium	353	methane monooxygenase NADH activity [GO:0106317]; methane monooxygenase NADPH activity [GO:0106318]; cellular aromatic compound metabolic process [GO:0006725]	29755426					1.14.13.25				
A0A5P3VCA2	unreviewed	A0A5P3VCA2_9BURK	Phenol hydroxylase	D2917_01355	Cupriavidus oxalaticus	345	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5Q0BLG8	unreviewed	A0A5Q0BLG8_9GAMM	Methane monooxygenase	F6R98_10910	Candidatus Methylospira mobilis	389	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5Q0DLJ6	unreviewed	A0A5Q0DLJ6_ALCFA	Phenol hydroxylase	DUD43_09275	Alcaligenes faecalis	335	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5Q0NQX5	unreviewed	A0A5Q0NQX5_9ACTN	propane 2-monooxygenase (EC 1.14.13.227)	GFH29_05725	Nocardioides sp. dk884	368	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A5Q0RQZ5	unreviewed	A0A5Q0RQZ5_ACINO	Phenol hydroxylase	GD578_06565	Acinetobacter nosocomialis	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5Q0SGF1	unreviewed	A0A5Q0SGF1_9CREN	Toluene monooxygenase	GFS03_03545	Sulfolobus sp. E5-1-F	376	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	31748395									
A0A5Q0TSR1	unreviewed	A0A5Q0TSR1_9CREN	Toluene monooxygenase	GFS33_07675	Sulfolobus sp. E11-6	376	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	31748395									
A0A5R9J9X0	unreviewed	A0A5R9J9X0_9PROT	Toluene hydroxylase	FE263_13635	Lichenicoccus roseus	366	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A5S4SW36	unreviewed	A0A5S4SW36_9BURK	Phenol hydroxylase	FSY45_17140	Comamonas sp. Z1	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A640JD74	unreviewed	A0A640JD74_9BURK	Phenol hydroxylase	VHAB30_56340	Variovorax boronicumulans	334	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A640JNE2	unreviewed	A0A640JNE2_9BURK	Phenol hydroxylase	VCH24_27070	Variovorax boronicumulans	334	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A643FEA8	unreviewed	A0A643FEA8_IDEDE	Phenol hydroxylase	F7Q92_05585	Ideonella dechloratans	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A643FEP9	unreviewed	A0A643FEP9_IDEDE	Toluene monooxygenase	F7Q92_05470	Ideonella dechloratans	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A643FVS1	unreviewed	A0A643FVS1_9BURK	Aromatic/alkene monooxygenase hydroxylase subunit beta	F7R26_025505	Cupriavidus basilensis	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A651EJW7	unreviewed	A0A651EJW7_9RHOB	Toluene hydroxylase	EA355_13395	Paracoccaceae bacterium	352	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A651ESC2	unreviewed	A0A651ESC2_9GAMM	Phenol hydroxylase	EA373_00590	Oceanospirillales bacterium	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
