TITLE	COMPND	SOURCE	NAME	cluster_label
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A2H0Q7L6)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: BDELLOVIBRIONALES BACTERIUM3 CG11_BIG_FIL_REV_8_21_14_0_20_38_13;4 ORGANISM_TAXID: 1973928	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PROPANE 2-MONOOXYGENASE2 (L7V493)	MOL_ID: 1;2 MOLECULE: PROPANE 2-MONOOXYGENASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: MYCOBACTERIUM LIFLANDII (STRAIN 128FXT);3 ORGANISM_TAXID: 459424	PROPANE 2-MONOOXYGENASE	10
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHENYLACETATE-COA OXYGENASE,2 PAAG SUBUNIT (C7QCV5)	MOL_ID: 1;2 MOLECULE: PHENYLACETATE-COA OXYGENASE, PAAG SUBUNIT;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: CATENULISPORA ACIDIPHILA (STRAIN DSM 44928 / JCM3 14897 / NBRC 102108 / NRRL B-24433 / ID139908);4 ORGANISM_TAXID: 479433	PHENYLACETATE-COA OXYGENASE, PAAG SUBUNIT	6
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIBONUCLEOSIDE-DIPHOSPHATE2 REDUCTASE SUBUNIT BETA (A0A2M8VRC7)	MOL_ID: 1;2 MOLECULE: RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: POLYNUCLEOBACTER SP. UB-DOMO-W1;3 ORGANISM_TAXID: 1938816	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA	1
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A0D8BH94)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: FRANKIA TORREYI;3 ORGANISM_TAXID: 1856	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHENYLACETATE-COA OXYGENASE2 SUBUNIT PAAI (A0A838HFA2)	MOL_ID: 1;2 MOLECULE: PHENYLACETATE-COA OXYGENASE SUBUNIT PAAI;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: GEMMATIMONADETES BACTERIUM;3 ORGANISM_TAXID: 2026742	PHENYLACETATE-COA OXYGENASE SUBUNIT PAAI	6
ALPHAFOLD MONOMER V2.0 PREDICTION FOR THIAMINASE II (A0A4R6Y539)	MOL_ID: 1;2 MOLECULE: THIAMINASE II;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: AQUAMICROBIUM DEFLUVII;3 ORGANISM_TAXID: 69279	THIAMINASE II	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A1Z8A3G2)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: GAMMAPROTEOBACTERIA BACTERIUM 42_54_T18;3 ORGANISM_TAXID: 1856293	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A4U1FDN3)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: MONODON MONOCEROS;3 ORGANISM_TAXID: 40151	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR DUF4142 DOMAIN-CONTAINING2 PROTEIN (A0A7Z1AU78)	MOL_ID: 1;2 MOLECULE: DUF4142 DOMAIN-CONTAINING PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ACTINOPHYTOCOLA XINJIANGENSIS;3 ORGANISM_TAXID: 485602	DUF4142 DOMAIN-CONTAINING PROTEIN	17
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A2V7L0N0)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: GEMMATIMONADETES BACTERIUM;3 ORGANISM_TAXID: 2026742	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIBONUCLEOSIDE-DIPHOSPHATE2 REDUCTASE SUBUNIT M2 (A0A2G8LHT2)	MOL_ID: 1;2 MOLECULE: RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT M2;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: STICHOPUS JAPONICUS;3 ORGANISM_TAXID: 307972	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT M2	1
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (K8F7Y7)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: BATHYCOCCUS PRASINOS;3 ORGANISM_TAXID: 41875	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR P-AMINOBENZOATE N-OXYGENASE2 AURF (A0A1H3J798)	MOL_ID: 1;2 MOLECULE: P-AMINOBENZOATE N-OXYGENASE AURF;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: LYSOBACTER SP. YR284;3 ORGANISM_TAXID: 1761791	P-AMINOBENZOATE N-OXYGENASE AURF	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR METHANE MONOOXYGENASE2 (A0A848L167)	MOL_ID: 1;2 MOLECULE: METHANE MONOOXYGENASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: GORDONIA ASPLENII;3 ORGANISM_TAXID: 2725283	METHANE MONOOXYGENASE	10
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHENOL HYDROXYLASE SUBUNIT PHKB2 (Q8VUU1)	MOL_ID: 1;2 MOLECULE: PHENOL HYDROXYLASE SUBUNIT PHKB;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: PARABURKHOLDERIA KURURIENSIS SUBSP. KURURIENSIS;3 ORGANISM_TAXID: 89498	PHENOL HYDROXYLASE SUBUNIT PHKB	11
ALPHAFOLD MONOMER V2.0 PREDICTION FOR 1,2-PHENYLACETYL-COA EPOXIDASE2 SUBUNIT A (A0A4Z1PWH1)	MOL_ID: 1;2 MOLECULE: 1,2-PHENYLACETYL-COA EPOXIDASE SUBUNIT A;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: AGROBACTERIUM LARRYMOOREI;3 ORGANISM_TAXID: 160699	1,2-PHENYLACETYL-COA EPOXIDASE SUBUNIT A	5
ALPHAFOLD MONOMER V2.0 PREDICTION FOR FERRITIN-LIKE DOMAIN-CONTAINING2 PROTEIN (A0A7C3MSX8)	MOL_ID: 1;2 MOLECULE: FERRITIN-LIKE DOMAIN-CONTAINING PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: BACTERIUM;3 ORGANISM_TAXID: 1869227	FERRITIN-LIKE DOMAIN-CONTAINING PROTEIN	9
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (F1A3J0)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: DICTYOSTELIUM PURPUREUM;3 ORGANISM_TAXID: 5786	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR MCP FOUR HELIX BUNDLE DOMAIN-2 CONTAINING PROTEIN (A0A7Y5SMU4)	MOL_ID: 1;2 MOLECULE: MCP FOUR HELIX BUNDLE DOMAIN-CONTAINING PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: PIRELLULALES BACTERIUM;3 ORGANISM_TAXID: 2715253	MCP FOUR HELIX BUNDLE DOMAIN-CONTAINING PROTEIN	17
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A2H5FI72)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: LEGIONELLA SAINTHELENSI;3 ORGANISM_TAXID: 28087	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHENYLACETATE-COA OXYGENASE2 SUBUNIT PAAC (A0A7L4YNT0)	MOL_ID: 1;2 MOLECULE: PHENYLACETATE-COA OXYGENASE SUBUNIT PAAC;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: EPIDERMIDIBACTERIUM KERATINI;3 ORGANISM_TAXID: 1891644	PHENYLACETATE-COA OXYGENASE SUBUNIT PAAC	6
ALPHAFOLD MONOMER V2.0 PREDICTION FOR MULTICOMPONENT2 OXYGENASE/REDUCTASE SUBUNIT FOR PHENYLACETIC ACID DEGRADATION3 (A0A376Y8W5)	MOL_ID: 1;2 MOLECULE: MULTICOMPONENT OXYGENASE/REDUCTASE SUBUNIT FOR PHENYLACETIC3 ACID DEGRADATION;4 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ESCHERICHIA COLI;3 ORGANISM_TAXID: 562	MULTICOMPONENT OXYGENASE/REDUCTASE SUBUNIT FOR PHENYLACETIC3 ACID DEGRADATION	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A2A2WDM6)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: RHODOPIRELLULA SP. SM50;3 ORGANISM_TAXID: 595453	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNANNOTATED PROTEIN2 (A0A6J7PR74)	MOL_ID: 1;2 MOLECULE: UNANNOTATED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: FRESHWATER METAGENOME;3 ORGANISM_TAXID: 449393	UNANNOTATED PROTEIN	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RESPONSE REGULATOR (A0A8B0SM68)	MOL_ID: 1;2 MOLECULE: RESPONSE REGULATOR;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: THIOTHRIX FRUCTOSIVORANS;3 ORGANISM_TAXID: 111770	RESPONSE REGULATOR	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A7V3BPT2)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: BACTERIUM;3 ORGANISM_TAXID: 1869227	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR AMP-BINDING DOMAIN-CONTAINING2 PROTEIN (A0A7M3LQQ6)	MOL_ID: 1;2 MOLECULE: AMP-BINDING DOMAIN-CONTAINING PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: STREPTOMYCES SP. SAJ15;3 ORGANISM_TAXID: 2011095	AMP-BINDING DOMAIN-CONTAINING PROTEIN	17
ALPHAFOLD MONOMER V2.0 PREDICTION FOR NLPC-P60 FAMILY HYDROLASE2 (T0DIM8)	MOL_ID: 1;2 MOLECULE: NLPC-P60 FAMILY HYDROLASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: BACTERIOVORAX SP. BAL6_X;3 ORGANISM_TAXID: 1201290	NLPC-P60 FAMILY HYDROLASE	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A4Q2WSC6)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: XANTHOMONADACEAE BACTERIUM;3 ORGANISM_TAXID: 1926873	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A146H6N1)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: MYCENA CHLOROPHOS;3 ORGANISM_TAXID: 658473	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHENYLACETATE-COA OXYGENASE2 SUBUNIT PAAI (A0A1Q7QKP9)	MOL_ID: 1;2 MOLECULE: PHENYLACETATE-COA OXYGENASE SUBUNIT PAAI;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ARMATIMONADETES BACTERIUM 13_1_40CM_3_65_7;3 ORGANISM_TAXID: 1805024	PHENYLACETATE-COA OXYGENASE SUBUNIT PAAI	6
ALPHAFOLD MONOMER V2.0 PREDICTION FOR ANTIZYME INHIBITOR 1-LIKE2 (A0A673KDS5)	MOL_ID: 1;2 MOLECULE: ANTIZYME INHIBITOR 1-LIKE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: SINOCYCLOCHEILUS RHINOCEROUS;3 ORGANISM_TAXID: 307959	ANTIZYME INHIBITOR 1-LIKE	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR TRNA-(MS[2]IO[6]A)-HYDROXYLASE2 (MIAE)-LIKE (A0A1I0STM8)	MOL_ID: 1;2 MOLECULE: TRNA-(MS[2]IO[6]A)-HYDROXYLASE (MIAE)-LIKE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: RHODOCOCCUS KROPPENSTEDTII;3 ORGANISM_TAXID: 293050	TRNA-(MS[2]IO[6]A)-HYDROXYLASE (MIAE)-LIKE	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PUTATIVE METAL-DEPENDENT2 HYDROLASE FAMILY PROTEIN (A0A829QCC3)	MOL_ID: 1;2 MOLECULE: PUTATIVE METAL-DEPENDENT HYDROLASE FAMILY PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: MYCOBACTEROIDES ABSCESSUS 1948;3 ORGANISM_TAXID: 1299323	PUTATIVE METAL-DEPENDENT HYDROLASE FAMILY PROTEIN	8
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIBONUCLEOSIDE-DIPHOSPHATE2 REDUCTASE SUBUNIT BETA (A0A1V4ABI7)	MOL_ID: 1;2 MOLECULE: RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: STREPTOMYCES TSUKUBENSIS;3 ORGANISM_TAXID: 83656	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA	1
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHENYLACETIC ACID CATABOLIC2 FAMILY PROTEIN (A0A537MNX4)	MOL_ID: 1;2 MOLECULE: PHENYLACETIC ACID CATABOLIC FAMILY PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ALPHAPROTEOBACTERIA BACTERIUM;3 ORGANISM_TAXID: 1913988	PHENYLACETIC ACID CATABOLIC FAMILY PROTEIN	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR R2-LIKE LIGAND-BINDING OXIDASE2 (A0A535VW22)	MOL_ID: 1;2 MOLECULE: R2-LIKE LIGAND-BINDING OXIDASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: CHLOROFLEXI BACTERIUM;3 ORGANISM_TAXID: 2026724	R2-LIKE LIGAND-BINDING OXIDASE	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RING-1,2-PHENYLACETYL-COA2 EPOXIDASE SUBUNIT PAAA (A0A3E0HFI6)	MOL_ID: 1;2 MOLECULE: RING-1,2-PHENYLACETYL-COA EPOXIDASE SUBUNIT PAAA;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: KUTZNERIA BURIRAMENSIS;3 ORGANISM_TAXID: 1045776	RING-1,2-PHENYLACETYL-COA EPOXIDASE SUBUNIT PAAA	5
ALPHAFOLD MONOMER V2.0 PREDICTION FOR TOLUENE HYDROXYLASE2 (A0A535S9S7)	MOL_ID: 1;2 MOLECULE: TOLUENE HYDROXYLASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: CHLOROFLEXI BACTERIUM;3 ORGANISM_TAXID: 2026724	TOLUENE HYDROXYLASE	11
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A0C2BTI2)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: NOVIHERBASPIRILLUM AUTOTROPHICUM;3 ORGANISM_TAXID: 709839	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A520PQA4)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: SANDARACINACEAE BACTERIUM;3 ORGANISM_TAXID: 2510337	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIBONUCLEOSIDE-DIPHOSPHATE2 REDUCTASE SUBUNIT (A0A6A3GIS0)	MOL_ID: 1;2 MOLECULE: RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: PHYTOPHTHORA RUBI;3 ORGANISM_TAXID: 129364	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT	1
ALPHAFOLD MONOMER V2.0 PREDICTION FOR HYPOTHETICAL PROTEIN2 (A0A6S9FEA5)	MOL_ID: 1;2 MOLECULE: HYPOTHETICAL PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: HETEROSIGMA AKASHIWO;3 ORGANISM_TAXID: 2829	HYPOTHETICAL PROTEIN	2
ALPHAFOLD MONOMER V2.0 PREDICTION FOR CHEMOTAXIS PROTEIN (A0A109HHR8)	MOL_ID: 1;2 MOLECULE: CHEMOTAXIS PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: XANTHOMONAS CAMPESTRIS PV. TRANSLUCENS;3 ORGANISM_TAXID: 343	CHEMOTAXIS PROTEIN	13
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A7C1FVZ4)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: CHLOROFLEXI BACTERIUM;3 ORGANISM_TAXID: 2026724	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIBONUCLEOSIDE-DIPHOSPHATE2 REDUCTASE SUBUNIT BETA (A0A5C7QB33)	MOL_ID: 1;2 MOLECULE: RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: BACTEROIDIA BACTERIUM;3 ORGANISM_TAXID: 2044936	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA	1
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIBONUCLEOSIDE-DIPHOSPHATE2 REDUCTASE SUBUNIT BETA (A0A507WCK7)	MOL_ID: 1;2 MOLECULE: RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: MORAXELLACEAE BACTERIUM AER2_44_116;3 ORGANISM_TAXID: 2591038	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA	1
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIBONUCLEOSIDE-DIPHOSPHATE2 REDUCTASE BETA CHAIN (A0A840MQY9)	MOL_ID: 1;2 MOLECULE: RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE BETA CHAIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: CHITINIVORAX TROPICUS;3 ORGANISM_TAXID: 714531	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE BETA CHAIN	1
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHENYLACETATE-COA OXYGENASE,2 PAAG SUBUNIT (D3F5F6)	MOL_ID: 1;2 MOLECULE: PHENYLACETATE-COA OXYGENASE, PAAG SUBUNIT;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: CONEXIBACTER WOESEI (STRAIN DSM 14684 / CIP3 108061 / JCM 11494 / NBRC 100937 / ID131577);4 ORGANISM_TAXID: 469383	PHENYLACETATE-COA OXYGENASE, PAAG SUBUNIT	6
ALPHAFOLD MONOMER V2.0 PREDICTION FOR DUF4142 DOMAIN-CONTAINING2 PROTEIN (A0A3R8T8M6)	MOL_ID: 1;2 MOLECULE: DUF4142 DOMAIN-CONTAINING PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: STREPTOMYCES SP. RP5T;3 ORGANISM_TAXID: 2490848	DUF4142 DOMAIN-CONTAINING PROTEIN	17
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHENOL HYDROXYLASE, P32 OXYGENASE COMPONENT DMPN (A0A3B0RXJ6)	MOL_ID: 1;2 MOLECULE: PHENOL HYDROXYLASE, P3 OXYGENASE COMPONENT DMPN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: HYDROTHERMAL VENT METAGENOME;3 ORGANISM_TAXID: 652676	PHENOL HYDROXYLASE, P3 OXYGENASE COMPONENT DMPN	11
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIBONUCLEOSIDE-DIPHOSPHATE2 REDUCTASE SMALL CHAIN A (A0A1J6ILY3)	MOL_ID: 1;2 MOLECULE: RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SMALL CHAIN A;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: NICOTIANA ATTENUATA;3 ORGANISM_TAXID: 49451	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SMALL CHAIN A	1
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHENYLACETATE-COA OXYGENASE2 SUBUNIT PAAI (A0A850BFD8)	MOL_ID: 1;2 MOLECULE: PHENYLACETATE-COA OXYGENASE SUBUNIT PAAI;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: POLYANGIACEAE BACTERIUM;3 ORGANISM_TAXID: 2268199	PHENYLACETATE-COA OXYGENASE SUBUNIT PAAI	6
ALPHAFOLD MONOMER V2.0 PREDICTION FOR METHYL-ACCEPTING CHEMOTAXIS2 PROTEIN (A0A3M4E2M1)	MOL_ID: 1;2 MOLECULE: METHYL-ACCEPTING CHEMOTAXIS PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: PSEUDOMONAS SYRINGAE PV. ATROFACIENS;3 ORGANISM_TAXID: 192087	METHYL-ACCEPTING CHEMOTAXIS PROTEIN	13
ALPHAFOLD MONOMER V2.0 PREDICTION FOR TOLUENE-4-MONOOXYGENASE SYSTEM2 PROTEIN A (A0A2S6R8Y0)	MOL_ID: 1;2 MOLECULE: TOLUENE-4-MONOOXYGENASE SYSTEM PROTEIN A;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ALPHAPROTEOBACTERIA BACTERIUM3 MARINEALPHA10_BIN1;4 ORGANISM_TAXID: 2013103	TOLUENE-4-MONOOXYGENASE SYSTEM PROTEIN A	10
ALPHAFOLD MONOMER V2.0 PREDICTION FOR FERRITIN-LIKE DOMAIN-CONTAINING2 PROTEIN (A0A7W1IBC1)	MOL_ID: 1;2 MOLECULE: FERRITIN-LIKE DOMAIN-CONTAINING PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: GEMMATIMONADACEAE BACTERIUM;3 ORGANISM_TAXID: 2026741	FERRITIN-LIKE DOMAIN-CONTAINING PROTEIN	9
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A3M1W498)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ACIDOBACTERIA BACTERIUM;3 ORGANISM_TAXID: 1978231	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHENOL HYDROXYLASE (A0A3S0FEF5)	MOL_ID: 1;2 MOLECULE: PHENOL HYDROXYLASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: RHODOCYCLACEAE BACTERIUM;3 ORGANISM_TAXID: 1898103	PHENOL HYDROXYLASE	11
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A4P5W0M6)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: DELTAPROTEOBACTERIA BACTERIUM;3 ORGANISM_TAXID: 2026735	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR HAMP DOMAIN-CONTAINING PROTEIN2 (A0A4Q3JU84)	MOL_ID: 1;2 MOLECULE: HAMP DOMAIN-CONTAINING PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: OXALOBACTERACEAE BACTERIUM;3 ORGANISM_TAXID: 1871070	HAMP DOMAIN-CONTAINING PROTEIN	17
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A836A7U7)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: OVIS ARIES;3 ORGANISM_TAXID: 9940	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A810ZF41)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ERWINIA RHAPONTICI;3 ORGANISM_TAXID: 55212	UNCHARACTERIZED PROTEIN	3
